Source,Title,Link,Summary,Published,SEO_Score,cleaned,topic_cluster,sentiment_score,lexicon_score,impact_score,impact_level,operational_tag,event_flag,cluster_name
Ada Derana,Landslide evacuation warning issued to several areas in four districts extended,http://www.adaderana.lk/news.php?nid=115696,The Level-3  (Red) landslide evacuation warning issued to multiple areas in four districts has been extended. MORE..,"Sun, 07 Dec 2025 17:29:24 +0530",5.17,landslide evacuation warning issued several areas four districts extended level 3 red landslide evacuation warning issued multiple areas four districts extended,4,-0.5859,-10.0,-10.0,High Risk,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
Ada Derana,Permission granted to restore paddy fields severely damaged due to floods caused by Cyclone Ditwah,http://www.adaderana.lk/news.php?nid=115695,"The Central Environmental Authority has already granted permission to remove sand and sand-mixed silt deposited in paddy fields that were severely damaged due to floods caused by Cyclone Ditwah, the Geological Survey and Mines Bureau stated. MORE..","Sun, 07 Dec 2025 16:55:31 +0530",5.17,permission granted restore paddy fields severely damaged due floods caused cyclone ditwah central environmental authority already granted permission remove sand sand mixed silt deposited paddy fields severely damaged due floods caused cyclone ditwah geological survey mines bureau stated,4,-0.743,4.0,3.257,High Opportunity,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
Ada Derana,PHIs uncover racket supplying flood-damaged rice to market in Kandy,http://www.adaderana.lk/news.php?nid=115694,Public Health Inspectors (PHIs) have uncovered information about a racket in which flood-damaged rice was being processed and supplied to the market as consumable rice. MORE..,"Sun, 07 Dec 2025 16:25:09 +0530",5.17,phis uncover racket supplying flood damaged rice market kandy public health inspectors phis uncovered information racket flood damaged rice processed supplied market consumable rice,4,-0.7003,-9.0,-9.7003,High Risk,"weather, energy, health, economic, sentiment",Normal,"Sri, Lanka, Cyclone"
Ada Derana,Two arrested at BIA with 21kg of Kush  cannabis,http://www.adaderana.lk/news.php?nid=115693,A couple has been arrested at the Bandaranaike International Airport (BIA) while attempting to smuggle over 21kg of Kush  cannabis earlier today (07). MORE..,"Sun, 07 Dec 2025 16:08:42 +0530",5.17,two arrested bia 21kg kush cannabis couple arrested bandaranaike international airport bia attempting smuggle 21kg kush cannabis earlier today 07,2,-0.8316,0.0,-0.8316,Risk,"transport, security",Normal,"Sri, Lanka, Force"
Ada Derana,Two US Air Force C-130J Super Hercules aircraft in Sri Lanka to support ongoing Cyclone Ditwah response,http://www.adaderana.lk/news.php?nid=115692,U.S. Air Force Airmen in two C-130J Super Hercules aircraft deployed by U.S. Indo-Pacific Command to support Sri Lanka s Cyclone Ditwah response.,"Sun, 07 Dec 2025 15:46:47 +0530",5.17,two us air force c 130j super hercules aircraft sri lanka support ongoing cyclone ditwah response u air force airmen two c 130j super hercules aircraft deployed u indo pacific command support sri lanka cyclone ditwah response,2,0.9217,-5.0,-4.0783000000000005,High Risk,"weather, transport, security",Normal,"Sri, Lanka, Force"
Ada Derana,"Over 4,500 houses destroyed in recent disaster, DMC confirms",http://www.adaderana.lk/news.php?nid=115691,"A total of 4,517 houses across the country have been destroyed due to recent landslides and floods, the Disaster Management Centre has confirmed. MORE..","Sun, 07 Dec 2025 14:53:17 +0530",5.17,4 500 houses destroyed recent disaster dmc confirms total 4 517 houses across country destroyed due recent landslides floods disaster management centre confirmed,4,-0.9393,-9.0,-9.9393,High Risk,weather,Normal,"Sri, Lanka, Cyclone"
Ada Derana,US envoy Kellogg says Ukraine peace deal is really close,http://www.adaderana.lk/news.php?nid=115690,U.S. President Donald Trump s outgoing Ukraine envoy said a deal to end the Ukraine war was “really close” and now depended on resolving two main outstanding issues- the future of Ukraine s Donbas region and the Zaporizhzhia nuclear power plant. MORE..,"Sun, 07 Dec 2025 14:52:55 +0530",5.17,us envoy kellogg says ukraine peace deal really close u president donald trump outgoing ukraine envoy said deal end ukraine war really close depended resolving two main outstanding issues future ukraine donbas region zaporizhzhia nuclear power plant,2,0.8255,4.0,4.8255,High Opportunity,"weather, energy, sentiment",Normal,"Sri, Lanka, Force"
Ada Derana,“Aadaraya” programme launched to provide essential school items to children affected by Cyclone Ditwah,http://www.adaderana.lk/news.php?nid=115689,"“Aadaraya” programme, an initiative launched to distribute essential school items including books to children affected by cyclone Ditwah, got underway in Hambantota. MORE..","Sun, 07 Dec 2025 14:44:09 +0530",5.17,aadaraya programme launched provide essential school items children affected cyclone ditwah aadaraya programme initiative launched distribute essential school items including books children affected cyclone ditwah got underway hambantota,4,-0.0516,0.0,-0.0516,Neutral,weather,Normal,"Sri, Lanka, Cyclone"
Ada Derana,Govt initiates measures to prepare Anuradhapura farmers for Maha season,http://www.adaderana.lk/news.php?nid=115688,President Anura Kumara Dissanayake instructed officials to prepare the farmers in the Anuradhapura District whose paddy cultivation was destroyed due to floods to re-cultivate during the upcoming Maha season. MORE..,"Sun, 07 Dec 2025 14:21:33 +0530",5.17,govt initiates measures prepare anuradhapura farmers maha season president anura kumara dissanayake instructed officials prepare farmers anuradhapura district whose paddy cultivation destroyed due floods cultivate upcoming maha season,4,-0.4939,0.0,-0.4939,Risk,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
Ada Derana,Sergeant injured after accidental discharge of firearm inside Malabe Police Station,http://www.adaderana.lk/news.php?nid=115687,A police sergeant has been injured in an accident caused by the accidental discharge of a firearm inside the Malabe Police Station. MORE..,"Sun, 07 Dec 2025 14:17:16 +0530",5.17,sergeant injured accidental discharge firearm inside malabe police station police sergeant injured accident caused accidental discharge firearm inside malabe police station,5,-0.8442,-4.5,-5.3442,High Risk,"transport, energy, security",Normal,"Benin, Says, Police"
The Island,A mechanism that goes beyond the normal state apparatus is needed to restore public life – President,http://island.lk/a-mechanism-that-goes-beyond-the-normal-state-apparatus-is-needed-to-restore-public-life-president/,"President Anura Kumara Dissanayake emphasised that a unified operational mechanism, which goes beyond the normal state administration, is required to restore public life after a disaster. The President stated this while participating in the Kandy District Coordinating Committee meeting held at the Kandy District Secretariat on Saturday  (06).morning During the meeting, the President separately reviewed [&#8230;]","Sun, 07 Dec 2025 12:03:19 +0000",6.38,mechanism goes beyond normal state apparatus needed restore public life president president anura kumara dissanayake emphasised unified operational mechanism goes beyond normal state administration required restore public life disaster president stated participating kandy district coordinating committee meeting held kandy district secretariat saturday 06 morning meeting president separately reviewed 8230,3,0.2263,1.5,1.7263,Opportunity,"weather, security, sentiment",Emerging Event,"Sri, Lanka, Imf"
The Island,President calls on the Mahanayake Thera of the Asgiri chapter,http://island.lk/president-calls-on-the-mahanayake-thera-of-the-asgiri-chapter/,"President Anura Kumara Dissanayake on Saturday (06) morning  visited the Asgiri Maha Viharaya and paid respects to the Mahanayake Thera of the Asgiri Chapter, Most Venerable Warakagoda Sri Gnanarathana Thera, from whom he received blessings. The President briefed the Mahanayake Thera on the government’s programmes to provide relief to the people affected by the prevailing disaster situation [&#8230;]","Sun, 07 Dec 2025 11:49:53 +0000",6.38,president calls mahanayake thera asgiri chapter president anura kumara dissanayake saturday 06 morning visited asgiri maha viharaya paid respects mahanayake thera asgiri chapter venerable warakagoda sri gnanarathana thera received blessings president briefed mahanayake thera government programmes provide relief people affected prevailing disaster situation 8230,4,0.4939,-0.5,-0.006099999999999994,Neutral,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
The Island,President calls on the Mahanayake Thera of the Malwathu chapter,http://island.lk/president-calls-on-the-mahanayake-thera-of-the-malwathu-chapter/,"President Anura Kumara Dissanayake on Saturday (06)  morning  visited the Malwathu Maha Viharaya and paid respects to the Mahanayake Thera of the Malwathu Chapter, Most Venerable Thibbatuwawe Sri Sumangala Thera. The President briefed the Mahanayake Thera on the government’s programmes to provide relief to the people affected by the prevailing disaster situation and engaged in [&#8230;]","Sun, 07 Dec 2025 11:46:53 +0000",6.38,president calls mahanayake thera malwathu chapter president anura kumara dissanayake saturday 06 morning visited malwathu maha viharaya paid respects mahanayake thera malwathu chapter venerable thibbatuwawe sri sumangala thera president briefed mahanayake thera government programmes provide relief people affected prevailing disaster situation engaged 8230,4,0.34,-0.5,-0.15999999999999998,Neutral,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
The Island,Neser five-for trumps England’s belated resistance as Australia take 2-0 lead,http://island.lk/neser-five-for-trumps-englands-belated-resistance-as-australia-take-2-0-lead/,"England batted against type and belatedly produced a rearguard, but it was in vain as seamer Michael Neser justified his contentious selection with a five-wicket haul to lead Australia to a crushing second Test victory. Just six days in, Australia have a stranglehold of an Ashes series that is quickly becoming decidedly one-sided. But they [&#8230;]","Sun, 07 Dec 2025 11:19:57 +0000",6.38,neser five trumps england belated resistance australia take 2 0 lead england batted type belatedly produced rearguard vain seamer michael neser justified contentious selection five wicket haul lead australia crushing second test victory six days australia stranglehold ashes series quickly becoming decidedly one sided 8230,2,-0.5859,2.0,1.4141,Opportunity,"security, sentiment",Normal,"Sri, Lanka, Force"
The Island,"Heavy rains hamper recovery as death toll from floods in Asia exceeds 1,750",http://island.lk/heavy-rains-hamper-recovery-as-death-toll-from-floods-in-asia-exceeds-1750/,"Rescue teams and volunteers have been struggling to assist millions of people affected by floods and landslides in parts of Asia, as the official death toll from the ongoing climate-fuelled disaster has climbed to more than 1,750 people in the worst-affected countries of Indonesia, Sri Lanka and Thailand. In Indonesia, at least 908 people were [&#8230;]","Sun, 07 Dec 2025 09:10:37 +0000",6.38,heavy rains hamper recovery death toll floods asia exceeds 1 750 rescue teams volunteers struggling assist millions people affected floods landslides parts asia official death toll ongoing climate fuelled disaster climbed 1 750 people worst affected countries indonesia sri lanka thailand indonesia least 908 people 8230,4,-0.9565,-6.5,-7.4565,High Risk,"weather, energy, sentiment",Normal,"Sri, Lanka, Cyclone"
The Island,Staff and tourists among 25 killed in Goa nightclub fire,http://island.lk/staff-and-tourists-among-25-killed-in-goa-nightclub-fire/,"Twenty five people have been killed in a fire at a popular nightclub in the coastal region of Goa, India, local officials say. The majority of victims are believed to be staff at the club in Arpora, North Goa, while tourists are also among the dead. Police believe a gas cylinder exploded in the club&#8217;s [&#8230;]","Sun, 07 Dec 2025 08:09:06 +0000",6.38,staff tourists among 25 killed goa nightclub fire twenty five people killed fire popular nightclub coastal region goa india local officials say majority victims believed staff club arpora north goa tourists also among dead police believe gas cylinder exploded club 8217 8230,2,-0.9559,-10.0,-10.0,High Risk,"energy, security, sentiment",Normal,"Sri, Lanka, Force"
The Island,Delegation from Singapore and Malaysia Meets President’s Secretary,http://island.lk/delegation-from-singapore-and-malaysia-meets-presidents-secretary/,"A delegation consisting of both lay and religious representatives from Singapore and Malaysia, led by the Chairman of the Maha Karuna Buddhist Society in Singapore, Venerable Dr K. Gunaratana Thero, who visited Sri Lanka with the objective of providing relief to those affected by Cyclone Ditwah, met the Secretary to the President Dr Nandika Sanath [&#8230;]","Sun, 07 Dec 2025 08:07:55 +0000",6.38,delegation singapore malaysia meets president secretary delegation consisting lay religious representatives singapore malaysia led chairman maha karuna buddhist society singapore venerable dr k gunaratana thero visited sri lanka objective providing relief affected cyclone ditwah met secretary president dr nandika sanath 8230,3,0.3612,-2.5,-2.1388,High Risk,"weather, sentiment",Emerging Event,"Sri, Lanka, Imf"
The Island,"Landslide RED warnings issued to the districts of Kandy, Kegalle, Kurunegala, Matale and Nuwara Eliya extended up to 1600 hrs today [07]",http://island.lk/landslide-red-warnings-issued-to-the-districts-of-kandy-kegalle-kurunegala-matale-and-nuwara-eliya-extended-up-to-1600-hrs-today-07/,"The Landslide Early Warning Center of the National Building Research Organisation [NBRO] has issued  landslide early warnings to the districts of Badulla, Colombo, Galle, Gampaha, Kalutara, Kandy, Kegalle, Kurunegala, Matale, Matara, Monaragala, Nuwara Eliya and Ratnapura effective from 16:00 hrs on 06.12.2025 to 16:00 hrs on 07.12.2025. Accordingly, LEVEL III RED  warnings have been issued [&#8230;]","Sun, 07 Dec 2025 03:31:05 +0000",6.38,landslide red warnings issued districts kandy kegalle kurunegala matale nuwara eliya extended 1600 hrs today 07 landslide early warning center national building research organisation nbro issued landslide early warnings districts badulla colombo galle gampaha kalutara kandy kegalle kurunegala matale matara monaragala nuwara eliya ratnapura effective 16 00 hrs 06 12 2025 16 00 hrs 07 12 2025 accordingly level iii red warnings issued 8230,4,-0.5994,-10.0,-10.0,High Risk,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
The Island,Deadly attack on kindergarten reported in Sudan,http://island.lk/deadly-attack-on-kindergarten-reported-in-sudan/,"A drone attack on the town of Kalogi, in Sudan&#8217;s South Kordofan region, is said to have hit a kindergarten and killed at least 50 people, including 33 children. The Rapid Support Forces (RSF), the paramilitary group battling the army in Sudan&#8217;s civil war, was accused of Thursday&#8217;s attack by a medical organisation, the Sudan [&#8230;]","Sun, 07 Dec 2025 02:45:57 +0000",6.38,deadly attack kindergarten reported sudan drone attack town kalogi sudan 8217 south kordofan region said hit kindergarten killed least 50 people including 33 children rapid support forces rsf paramilitary group battling army sudan 8217 civil war accused thursday 8217 attack medical organisation sudan 8230,2,-0.9601,-10.0,-10.0,High Risk,"transport, health, security, sentiment",Normal,"Sri, Lanka, Force"
The Island,"618 dead, 209 missing as at 2000hrs on Saturday [06]",http://island.lk/618-dead-209-missing-as-at-2000hrs-on-saturday-06/,"The Situation Report issued by the Disaster Management Center [DMC] at 2000hrs on Saturday [06] confirms that 607 persons have died due to the recent flooding and landslides while another 209 persons were missing. The death toll in the Kandy district which one of the most affected districts has risen to 232, and 1800 houses [&#8230;]","Sun, 07 Dec 2025 02:34:21 +0000",6.38,618 dead 209 missing 2000hrs saturday 06 situation report issued disaster management center dmc 2000hrs saturday 06 confirms 607 persons died due recent flooding landslides another 209 persons missing death toll kandy district one affected districts risen 232 1800 houses 8230,2,-0.9678,-10.0,-10.0,High Risk,"weather, transport, sentiment",Normal,"Sri, Lanka, Force"
Daily News,"Benin coup attempt foiled by loyalist troops, interior minister says",https://dailynews.lk/2025/12/07/breaking-news/909910/benin-coup-attempt-foiled-by-loyalist-troops-interior-minister-says/,"The government of Benin says it has foiled an attempted coup by members of the West African nation&#8217;s armed forces. &#8220;The Beninese armed forces and their leadership, true to their&#8230;
The post Benin coup attempt foiled by loyalist troops, interior minister says appeared first on DailyNews.","Sun, 07 Dec 2025 15:48:49 +0000",5.8,benin coup attempt foiled loyalist troops interior minister says government benin says foiled attempted coup members west african nation 8217 armed forces 8220 beninese armed forces leadership true 8230 post benin coup attempt foiled loyalist troops interior minister says appeared first dailynews,5,0.7783,0.0,0.7783,Opportunity,"energy, security, sentiment",Normal,"Benin, Says, Police"
Daily News,NBRO issues landslide and evacuation red notices for four districts,https://dailynews.lk/2025/12/07/local/909754/nbro-issues-landslide-and-evacuation-red-notices-for-four-districts/,"The National Building Research Organization (NBRO) has issued landslide red notices for four districts in Sri Lanka due to ongoing adverse weather conditions. In the Kandy District, landslide warnings apply&#8230;
The post NBRO issues landslide and evacuation red notices for four districts appeared first on DailyNews.","Sun, 07 Dec 2025 13:38:03 +0000",5.8,nbro issues landslide evacuation red notices four districts national building research organization nbro issued landslide red notices four districts sri lanka due ongoing adverse weather conditions kandy district landslide warnings apply 8230 post nbro issues landslide evacuation red notices four districts appeared first dailynews,4,-0.5719,-10.0,-10.0,High Risk,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
Daily News,All-night Pirith sermon held at Kiri Vehera to offer blessings for disaster victims,https://dailynews.lk/2025/12/07/local/909631/all-night-pirith-sermon-held-at-kiri-vehera-to-offer-blessings-for-disaster-victims/,"An all-night Pirith sermon was held at the historic Kiri Vehera in Kataragama to offer condolences to those displaced by the recent disaster and to pay tribute to citizens who&#8230;
The post All-night Pirith sermon held at Kiri Vehera to offer blessings for disaster victims appeared first on DailyNews.","Sun, 07 Dec 2025 12:41:14 +0000",5.8,night pirith sermon held kiri vehera offer blessings disaster victims night pirith sermon held historic kiri vehera kataragama offer condolences displaced recent disaster pay tribute citizens 8230 post night pirith sermon held kiri vehera offer blessings disaster victims appeared first dailynews,2,-0.8834,-10.0,-10.0,High Risk,"weather, sentiment",Normal,"Sri, Lanka, Force"
Daily News,Restoration of disaster-hit agricultural fields begins across Sri Lanka with GSMB approval,https://dailynews.lk/2025/12/07/local/909623/restoration-of-disaster-hit-agricultural-fields-begins-across-sri-lanka-with-gsmb-approval/,"The Geological Survey and Mines Bureau (GSMB) has announced measures to restore agricultural fields damaged by floods caused by Cyclone Dittha, which impacted the entire island. In response to requests&#8230;
The post Restoration of disaster-hit agricultural fields begins across Sri Lanka with GSMB approval appeared first on DailyNews.","Sun, 07 Dec 2025 12:18:19 +0000",5.8,restoration disaster hit agricultural fields begins across sri lanka gsmb approval geological survey mines bureau gsmb announced measures restore agricultural fields damaged floods caused cyclone dittha impacted entire island response requests 8230 post restoration disaster hit agricultural fields begins across sri lanka gsmb approval appeared first dailynews,4,-0.5719,-2.5,-3.0719,High Risk,"weather, sentiment",Normal,"Sri, Lanka, Cyclone"
Daily News,“Cinewave Youth Short Film Festival 2025” to be held on December 7 and 8,https://dailynews.lk/2025/12/07/local/909616/cinewave-youth-short-film-festival-2025-to-be-held-on-december-7-and-8/,"The 11th Cine Wave Youth Short Film Festival 2025, the National Youth Service Council’s flagship platform for emerging filmmakers, will take place on December 7 and 8, showcasing short films,&#8230;
The post “Cinewave Youth Short Film Festival 2025” to be held on December 7 and 8 appeared first on DailyNews.","Sun, 07 Dec 2025 12:02:09 +0000",5.8,cinewave youth short film festival 2025 held december 7 8 11th cine wave youth short film festival 2025 national youth service council flagship platform emerging filmmakers take place december 7 8 showcasing short films 8230 post cinewave youth short film festival 2025 held december 7 8 appeared first dailynews,2,0.875,0.0,0.875,Opportunity,general,Normal,"Sri, Lanka, Force"
Daily News,Soldiers in Benin say they have seized power from President Talon,https://dailynews.lk/2025/12/07/breaking-news/909609/soldiers-in-benin-say-they-have-seized-power-from-president-talon/,"Soldiers in the West African nation of Benin have announced on national TV that they have ousted President Patrice Talon and seized power. A message from the French embassy in&#8230;
The post Soldiers in Benin say they have seized power from President Talon appeared first on DailyNews.","Sun, 07 Dec 2025 11:48:47 +0000",5.8,soldiers benin say seized power president talon soldiers west african nation benin announced national tv ousted president patrice talon seized power message french embassy 8230 post soldiers benin say seized power president talon appeared first dailynews,5,0.0,0.0,0.0,Neutral,"energy, sentiment",Normal,"Benin, Says, Police"
Daily News,US Air Force C-130 aircraft arrive in Sri Lanka for relief operations,https://dailynews.lk/2025/12/07/local/909602/us-air-force-c-130-aircraft-arrive-in-sri-lanka-for-relief-operations/,"Two United States Air Force C-130 aircraft arrived in Sri Lanka today (07 December 2025) to augment ongoing air operations supporting national efforts to restore normalcy in communities affected by&#8230;
The post US Air Force C-130 aircraft arrive in Sri Lanka for relief operations appeared first on DailyNews.","Sun, 07 Dec 2025 11:32:37 +0000",5.8,us air force c 130 aircraft arrive sri lanka relief operations two united states air force c 130 aircraft arrived sri lanka today 07 december 2025 augment ongoing air operations supporting national efforts restore normalcy communities affected 8230 post us air force c 130 aircraft arrive sri lanka relief operations appeared first dailynews,2,0.91,7.0,7.91,High Opportunity,"transport, security",Normal,"Sri, Lanka, Force"
Daily News,Disaster death toll in Sri Lanka rises to 627,https://dailynews.lk/2025/12/07/local/909555/disaster-death-toll-in-sri-lanka-rises-to-627/,"The Disaster Management Center (DMC) reports that the death toll from the ongoing disaster affecting all 25 districts of Sri Lanka has risen to 627, with 190 people still missing&#8230;
The post Disaster death toll in Sri Lanka rises to 627 appeared first on DailyNews.","Sun, 07 Dec 2025 11:27:40 +0000",5.8,disaster death toll sri lanka rises 627 disaster management center dmc reports death toll ongoing disaster affecting 25 districts sri lanka risen 627 190 people still missing 8230 post disaster death toll sri lanka rises 627 appeared first dailynews,2,-0.9853,-10.0,-10.0,High Risk,"weather, transport, sentiment",Normal,"Sri, Lanka, Force"
Daily News,All access roads to Nuwara Eliya reopened after Cyclone Ditwah,https://dailynews.lk/2025/12/07/local/909524/all-access-roads-to-nuwara-eliya-reopened-after-cyclone-ditwah/,"Deputy Minister of Education and Higher Education, Dr. Madhura Senevirathna, confirmed that all access roads to Nuwara Eliya District have now been reopened. Several routes had been closed earlier due&#8230;
The post All access roads to Nuwara Eliya reopened after Cyclone Ditwah appeared first on DailyNews.","Sun, 07 Dec 2025 11:15:32 +0000",5.8,access roads nuwara eliya reopened cyclone ditwah deputy minister education higher education dr madhura senevirathna confirmed access roads nuwara eliya district reopened several routes closed earlier due 8230 post access roads nuwara eliya reopened cyclone ditwah appeared first dailynews,4,0.0,-9.0,-9.0,High Risk,"weather, transport, sentiment",Normal,"Sri, Lanka, Cyclone"
Daily News,Important Notice for train season ticket holders,https://dailynews.lk/2025/12/07/local/909517/important-notice-for-train-season-ticket-holders/,"The Sri Lanka Transport Board (SLTB) announced that train season ticket holders will be permitted to travel on SLTB buses only in areas where train services have been restricted or&#8230;
The post Important Notice for train season ticket holders appeared first on DailyNews.","Sun, 07 Dec 2025 11:04:08 +0000",5.8,important notice train season ticket holders sri lanka transport board sltb announced train season ticket holders permitted travel sltb buses areas train services restricted 8230 post important notice train season ticket holders appeared first dailynews,3,0.0,0.0,0.0,Neutral,"weather, transport, economic",Emerging Event,"Sri, Lanka, Imf"
EconomyNext,IMF to discuss Sri Lanka’s fifth review again amid RFI request after disaster,https://economynext.com/imf-to-discuss-sri-lankas-fifth-review-again-amid-rfi-request-after-disaster-251955/,Sri Lanka will receive sixth tranche of the EFF after the completion of fifth review,"Sun, 07 Dec 2025 14:26:36 +0000",6.65,imf discuss sri lanka fifth review amid rfi request disaster sri lanka receive sixth tranche eff completion fifth review,3,-0.6249,-4.5,-5.1249,High Risk,"weather, economic, sentiment",Emerging Event,"Sri, Lanka, Imf"
EconomyNext,Sri Lanka railway tracks ‘left hanging’ by Cyclone Ditwah : GM,https://economynext.com/sri-lanka-railway-tracks-left-hanging-by-cyclone-ditwah-gm-251911/,"The worst damage was to the Kandy, Badulla and Matale tracks in the hill country","Sun, 07 Dec 2025 11:56:27 +0000",6.65,sri lanka railway tracks left hanging cyclone ditwah gm worst damage kandy badulla matale tracks hill country,3,-0.8074,-7.5,-8.3074,High Risk,"weather, transport",Emerging Event,"Sri, Lanka, Imf"
EconomyNext,Sri Lanka central bank warned local fx swaps are a ‘hot money operation’ by COPF members,https://economynext.com/sri-lanka-central-bank-warned-local-fx-swaps-are-a-hot-money-operation-by-copf-members-251881/,That is a more of a hot money type of operation,"Sun, 07 Dec 2025 07:23:23 +0000",6.65,sri lanka central bank warned local fx swaps hot money operation copf members hot money type operation,0,-0.2732,0.0,-0.2732,Neutral,"security, economic",Normal,"Sri, Lanka, 2025"
